window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id
0,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,6.0,False,0.0,0.0
5,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,11.0,False,0.0,0.0
10,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
15,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
20,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,16.0,False,0.0,0.0
25,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,19.0,False,0.0,0.0
30,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,True,0.0,0.0
35,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
40,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,45.0,False,0.0,0.0
45,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,True,0.0,0.0
50,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,8.0,False,0.0,0.0
55,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,True,0.0,0.0
60,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,5.0,False,8.0,False,0.0,0.0
65,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,5.0,False,0.0,True,0.0,0.0
70,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,75.0,False,0.0,0.0
75,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,True,0.0,0.0
80,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0
85,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,True,0.0,0.0
90,NODE_B0CBD8F33218,root_COM20_linear_none_r1_20260713_083108_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,83.0,False,0.0,0.0
